analysis_type,bucket,trades,executed_trades,blocked_trades,baseline_pnl,v3_pnl,win_rate,v3_win_rate,profit_factor,profit_factor_v3,expectancy,expectancy_v3,trade_density,volatility_quality,max_drawdown_v3
session,Asia,17,9,8,-3889.368531051732,-1423.8185541878338,29.411764705882355,5.88235294117647,0.8150813777815075,0.2371181549267274,-228.78638417951365,-83.75403259928434,1.3076923076923077,41.75588188268894,1354.2101705270818
session,London,52,31,21,31204.35300708535,9377.96935018134,48.07692307692308,30.76923076923077,1.6682021252828196,3.184129459784644,600.0837116747182,180.34556442656424,1.3,47.85105517501666,1688.3734063256165
session,London/NY overlap,32,21,11,24238.213825442144,9052.620001704136,46.875,43.75,1.8154821130532763,2.8554621283246213,757.444182045067,282.89437505325424,1.2307692307692308,51.52176537608752,1803.8461217102397
session,New York,23,15,8,-6484.441276906284,1509.440448567681,30.434782608695656,17.391304347826086,0.7774544325712275,1.356798109709247,-281.932229430708,65.62784558989917,1.2105263157894737,49.39101432963601,1914.4054843736822
hour,3,12,5,7,-5831.9842077529665,-1335.7966774078727,25.0,0.0,0.6321684389416997,0.0,-485.9986839794139,-111.3163897839894,1.2,43.58415056657128,1335.7966774078727
hour,4,20,13,7,3315.207939665161,3264.5560304494666,40.0,30.0,1.1551128774140658,3.160288012368971,165.76039698325806,163.22780152247333,1.0526315789473684,47.72610281864858,891.1433545634047
hour,5,25,18,7,14990.141642490482,4166.387740540009,48.0,36.0,1.6946803999354834,2.466452833029175,599.6056656996193,166.65550962160034,1.0869565217391304,47.14263629476237,1874.4385303106292
hour,6,28,14,14,24609.174596206634,7399.166978610788,50.0,32.142857142857146,2.0121825551580694,4.3491350323759015,878.8990927216655,264.25596352181384,1.2173913043478262,46.049929567853674,1119.0547306194092
hour,7,19,14,5,14184.323984253559,5303.2452245550285,47.368421052631575,42.10526315789473,1.7846596819612213,2.450076235377298,746.5433675922926,279.11816971342256,1.1176470588235294,56.2567057416756,1436.1346713881032
hour,8,13,8,5,-4802.813721777331,-16.59833231574379,30.76923076923077,15.384615384615385,0.7079405465443391,0.9890388778601945,-369.447209367487,-1.2767947935187531,1.0833333333333333,46.14465386425912,1201.901700124187
hour,9,7,4,3,-1395.293208516066,-264.7497181663516,28.57142857142857,14.285714285714285,0.8441176043149657,0.8796916233886956,-199.32760121658086,-37.8213883094788,1.0,52.64871070785893,1942.1295056684603
weekday,Fri,16,9,7,20555.15347203577,6354.8945652211705,62.5,37.5,2.9270467768560926,13.845971463252072,1284.6970920022356,397.18091032632316,1.4545454545454546,47.87111649333298,414.77225309245205
weekday,Mon,33,26,7,9700.796677742435,3764.9936616844943,39.39393939393939,33.33333333333333,1.2761793419115652,1.571783275820405,293.9635356891647,114.09071702074225,1.8333333333333333,50.24429017463157,2600.3289842038926
weekday,Thu,22,8,14,3120.7498231813424,5537.634696723837,36.36363636363637,22.727272727272727,1.1308177789923741,15.829475232612788,141.85226469006102,251.71066803290168,2.0,44.05645541627232,280.96288846916923
weekday,Tue,29,19,10,8506.544980696777,2016.6400051632481,41.37931034482759,24.137931034482758,1.2820899341297005,1.492894487736102,293.32913726540613,69.53931052287062,2.0714285714285716,48.28894690989848,2641.774541575784
weekday,Wed,24,14,10,3185.5120709131434,842.0483174725755,37.5,25.0,1.1189103220537902,1.2260362001460612,132.72966962138096,35.08534656135731,1.6,49.54890681340794,3174.6537496998194
