step,mean_equity,q05_equity,q25_equity,median_equity,q75_equity,q95_equity
0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0
1,160229.70883333375,158882.9854349729,159742.65201813704,159918.18225214523,160500.81941015244,162294.5287262335
2,160512.2659019475,158432.5068127141,159649.07738964754,160235.34674679485,161482.96392531873,162725.4407276308
3,160713.68900037554,158286.54364606674,159606.14832026383,160471.30443809155,161769.9568154254,163546.24057893435
4,160971.85804701157,158226.6028459542,159708.3364399719,160735.57816713135,162170.17459863308,164348.79777079172
5,161225.07632727825,157999.28852209356,159720.7224003517,160983.98864921415,162540.82778324024,164960.81321254815
6,161477.09661014698,157989.64600581612,159869.30728838115,161325.39004304394,162925.6555879439,165617.9334805004
7,161721.8880806471,158014.07924974547,160050.2952978806,161609.637101237,163281.77307161552,165893.044104084
8,162004.61566392242,158104.1698241282,160104.56355151773,161892.9926911678,163680.31922288818,166317.594701955
9,162244.39153903755,158233.9992574808,160255.95446500997,162092.51389778196,163978.97491756908,167070.30524910937
10,162486.29478404718,158436.9130023819,160429.90045880445,162279.21516320243,164326.99406267714,167439.39591091406
11,162781.15849527312,158358.98076726744,160710.53689422266,162576.6167824516,164768.3644996622,167963.0167593993
12,163058.20454395234,158449.5594703296,160965.92160479835,162805.13619552692,165051.55199604112,168175.45207553927
13,163281.59666370813,158601.45117521207,160962.61769342519,163063.8044749473,165485.63303890344,168632.26879701507
14,163476.7360175177,158484.45701498838,161111.81332843407,163230.29989316984,165754.9645895234,168888.455448169
15,163693.1674228989,158555.89621346735,161134.46151839689,163592.38220973962,166114.38939135024,169278.3024980442
16,163950.91369021076,158927.3356952292,161373.54244024502,163758.44025609823,166296.18191795598,169808.16889435874
17,164170.7972758547,158846.65454046498,161688.11804544475,163998.91606850806,166582.61474820523,169893.81651018286
18,164367.8514554834,158835.51184949043,161823.50554448235,164172.90643087105,166873.55650944065,170421.66638800604
19,164636.38002105214,158902.21025120924,162035.81345463882,164480.85809773725,167218.4884537789,170849.31943154632
20,164901.8885662512,158995.36516251325,162319.86766553315,164752.1091535886,167348.88183027128,171319.6732434297
21,165063.83677705348,159053.03215808937,162419.91110091616,164745.37450983553,167564.85302342544,171369.35081077192
22,165288.19394483822,159456.74364556733,162527.94531027324,165127.5392438937,167758.52185524657,171970.60624032488
23,165477.11577146585,159102.62508106141,162673.86604949745,165443.9780171804,167921.80924490406,172282.91842735274
24,165704.30047916714,159522.50497548693,163009.84537624527,165516.6298052275,168344.2490806021,172297.03620557988
25,165899.34012926652,159824.02401463204,163048.6243381191,165778.43629240646,168492.3034839973,172703.67117304407
26,166174.25532185152,159933.05392118014,163199.92042714462,166015.17727650882,168966.8113844327,173110.43107881976
27,166436.4618388393,159913.3134493736,163571.57560602363,166189.0580711995,169195.5532143626,173310.7708692614
28,166634.88440977372,160043.3906171642,163812.24176506378,166386.1209512023,169314.36846525737,173475.0400693553
29,166908.9194226045,160203.55201801698,164044.9157855303,166611.19030935288,169669.15229488513,174017.0384193304
30,167136.89713116552,160665.6224237932,164144.7680892163,167000.00624060968,169767.82110157184,174551.10635281954
31,167377.8167685742,160823.9643912643,164355.03368877395,167284.36749920438,169918.98405573406,174605.78328378106
32,167648.19205334492,160851.3791903044,164705.92729817447,167551.34242456872,170337.78018383728,175006.35448629898
33,167863.21197985255,160863.96540053978,164900.74916741057,167761.98814162018,170658.46113773546,174904.76926147644
34,168069.32654204025,161077.76139393408,164990.51193113497,168064.48617317912,170888.22455873442,175015.25971274145
35,168280.36822707384,161589.3737215356,165238.38736115827,168399.6208844439,171180.77931811314,175152.64432755302
36,168571.0528564097,161506.2731988735,165522.1716534491,168591.78631938208,171641.19175867544,175388.82154447972
37,168794.56149570626,161727.1463368448,165856.59933477794,168912.00317218847,171968.55572729465,175522.4031980338
38,169010.79676930045,161825.68688961308,165986.8416987217,169096.97365395876,172150.77922541794,175682.7207279818
39,169258.09143315264,161901.05761468186,166324.067345429,169230.39166684193,172282.3311810542,175746.74438566438
40,169500.4494431755,162302.376612444,166727.75228180343,169589.12525363656,172516.78480536223,176108.6946539061
41,169728.08117161473,162604.04392673014,166859.07011018042,169893.00725125952,172679.94238139637,176286.47339908924
42,169944.56188475608,162891.33414732583,167036.39626443532,169921.58962482898,172882.27422848015,176529.65101366903
43,170181.17262105903,163173.68100655233,167438.65576004857,170259.0480230882,173104.31821118374,176734.17265457494
44,170399.45620159685,163219.0981467877,167573.45862486656,170544.58726770754,173323.672658812,177131.72026142577
45,170634.71935887475,163523.6043614383,167557.453955309,170833.48559704033,173544.30080474314,177606.69391731994
46,170821.41122209947,163732.10591952957,168108.89832378435,171153.3192576075,173894.76406578234,177407.51811307555
47,171066.3662896382,164027.55107735735,168196.35925264563,171297.39935198834,174023.55593932298,177810.35426030497
48,171318.34591633477,164404.47556309687,168333.46264030534,171606.37278989103,174253.55783209318,177866.48784369958
49,171564.04247256948,164811.50704161508,168765.01283394752,171782.72260434783,174421.9863109,177927.8624055801
50,171786.9629637134,165143.6208579837,169115.34191611892,171999.33121518826,174433.2879502172,177940.55370181325
51,172005.16419214092,165306.70228348055,169366.31203936593,172142.77253155666,174731.14889919513,177868.4664971981
52,172244.79313518453,165449.4200519754,169753.55482371015,172365.04502697475,175079.77785566205,178530.72230003518
53,172570.15153754756,165999.8521874837,170080.97747864705,172670.80384847533,175234.06626169613,178663.78087025086
54,172786.41990642194,166195.7545634287,170235.67690825634,172892.7967302883,175477.26893027572,179087.35161648295
55,173028.2444974287,166580.03049850382,170576.73256892705,173118.5706317416,175585.14893396938,179218.0280378392
56,173284.98836267667,166990.98339096515,170783.14612372394,173273.07255730536,175795.3815012653,179501.85059230903
57,173517.58203233907,167021.15749244916,171100.66955445553,173585.17223292546,176056.60383730364,179596.73439434418
58,173781.46779699763,167531.86708491738,171450.89922112192,173877.30188341183,176319.26586082025,179646.0028745971
59,174068.31997064417,168108.88127519994,171682.61306199583,174056.4924555472,176441.5998671498,179919.43302796883
60,174358.26481967664,168207.24888868115,172016.12428776218,174423.50293797365,176770.5152562128,179931.8358494157
61,174603.09987640218,168775.8775625938,172402.12556537185,174594.08920132782,177009.9931176151,180076.7834195497
62,174874.88552544412,169521.24924048423,172711.46122661515,175059.81159648355,177174.83514329244,179990.1577882551
63,175137.92124105824,169787.93813226977,172985.6252276886,175191.76708437497,177440.18109899052,180119.97303777374
64,175378.17074338955,170223.0653567032,173258.3553758125,175418.60205328235,177675.74650543043,180152.67820677042
65,175617.30816750848,170743.20920597712,173611.48617316186,175645.41168626753,177749.9004280971,180371.73735083372
66,175868.11100098063,171065.60183509492,174029.6246508467,175973.95806540048,177838.4938918975,180491.4441789441
67,176084.39640600534,171407.61068695888,174310.08015597044,176325.4943189764,177982.93542755523,180473.59942456972
68,176359.01887411997,171828.57152307898,174508.56504348665,176608.3111285721,178109.6840906311,180708.11607569328
69,176532.16490690786,172272.0379759294,174790.56088244385,176697.60483262636,178273.13658240484,180391.74124168904
70,176691.79937018795,172722.46320455,175091.626995998,176859.09085839984,178277.09766357453,180266.5661653927
71,176906.81201563,173229.01872866674,175631.32495110063,176920.03998154326,178467.17784616287,180268.3213762302
72,177116.48251127687,173587.4675644796,175834.0119322684,177235.1785742947,178601.8700354559,180132.72042279644
73,177370.1941343833,174215.847391176,176168.38904006136,177514.73101017403,178678.52728552136,180153.04936753478
74,177672.91434469394,174823.72320182266,176610.52335886584,177811.78321567352,178828.4578530317,180103.58903703452
75,177943.15190155964,175626.7871506966,177115.23594537028,178038.2091343369,178857.0804729067,179903.98776884607
76,178197.68125817212,176685.26447568586,177540.01656530972,178198.09432168424,178812.58866273897,179725.99035705734
