side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,size,atr,pnl,gross_pnl,exit_reason,bars_held,entry_date,month
long,2026-01-01 05:13:00,2026-01-01 05:20:00,2435.907911173285,2427.3000509832477,2427.3000509832477,2453.1236315533592,185.87662493076246,5.738573460024849,-1600.599999999981,-1599.9999999999811,SL,7,2026-01-01,2026-01
long,2026-01-01 06:08:00,2026-01-01 06:25:00,2437.9382419078493,2429.0851058087896,2429.0851058087896,2455.644514105968,178.91897089080982,5.902090732706319,-1584.5940000000242,-1583.9940000000242,SL,17,2026-01-01,2026-01
long,2026-01-01 06:22:00,2026-01-01 06:28:00,2436.810584001247,2428.7358344769073,2428.7358344769073,2452.960083049927,196.16633249431777,5.383166349559951,-1584.5940000000048,-1583.994000000005,SL,6,2026-01-01,2026-01
long,2026-01-02 06:04:00,2026-01-02 07:23:00,2454.329361249237,2468.934537224245,2447.026773261733,2468.934537224245,212.5687663957317,4.868391991669289,3104.004240000034,3104.6042400000338,TP,79,2026-01-02,2026-01
long,2026-01-05 05:11:00,2026-01-05 05:24:00,2459.9539806302455,2451.236706955246,2451.236706955246,2477.388527980245,181.63272388027477,5.811515783333103,-1583.94216239996,-1583.34216239996,SL,13,2026-01-05,2026-01
long,2026-01-05 07:40:00,2026-01-05 08:20:00,2471.1871746354127,2462.8932450560756,2462.8932450560756,2487.775033794087,188.9939775569322,5.529286386224694,-1568.1027407760207,-1567.5027407760208,SL,40,2026-01-05,2026-01
long,2026-01-06 04:13:00,2026-01-06 04:23:00,2485.120196431386,2471.171265857735,2471.171265857735,2513.0180575786885,111.25022847984864,9.29928704910079,-1552.4217133682275,-1551.8217133682276,SL,10,2026-01-06,2026-01
long,2026-01-06 08:11:00,2026-01-06 08:37:00,2492.390684560795,2515.7460579684357,2480.7129978569747,2515.7460579684357,131.55837583242942,7.7851244692135495,3071.9949924691437,3072.5949924691436,TP,26,2026-01-06,2026-01
long,2026-01-07 06:13:00,2026-01-07 06:30:00,2546.603681663674,2539.4834677988442,2539.4834677988442,2560.844109393333,220.08010937699223,4.746809243219657,-1567.6174461592673,-1567.0174461592674,SL,17,2026-01-07,2026-01
long,2026-01-07 06:21:00,2026-01-07 06:30:00,2547.7938468417888,2540.6319434884267,2540.6319434884267,2562.117653548513,218.7990215511152,4.774602235574646,-1567.6174461592673,-1567.0174461592674,SL,9,2026-01-07,2026-01
long,2026-01-08 05:23:00,2026-01-08 05:59:00,2626.9296938885595,2647.6117242754294,2616.5886786951246,2647.6117242754294,148.5023538318539,6.894010128956679,3070.7301944721057,3071.3301944721056,TP,36,2026-01-08,2026-01
long,2026-01-09 04:58:00,2026-01-09 06:28:00,2682.148016156434,2698.3963043854837,2670.05576328516,2706.3325218989817,129.5352004176024,8.06150191418256,2104.1252721929163,2104.7252721929162,Timeout,90,2026-01-09,2026-01
long,2026-01-12 06:31:00,2026-01-12 06:34:00,2730.622641699975,2722.629719850071,2722.629719850071,2746.6084853997822,198.6024237084014,5.328614566602466,-1588.0136519027187,-1587.4136519027188,SL,3,2026-01-12,2026-01
long,2026-01-12 07:37:00,2026-01-12 07:47:00,2731.8752313595264,2721.8928991163707,2721.8928991163707,2751.839895845838,157.4314976804324,6.6548881621038625,-1572.1335153836758,-1571.5335153836759,SL,10,2026-01-12,2026-01
long,2026-01-13 06:05:00,2026-01-13 06:32:00,2759.4713928436763,2777.282396445281,2750.5658910428742,2777.282396445281,174.70235984789628,5.93700120053486,3111.024360459708,3111.624360459708,TP,27,2026-01-13,2026-01
long,2026-01-14 03:08:00,2026-01-14 03:20:00,2789.5356653328063,2808.90700906585,2779.849993466284,2808.90700906585,163.8422657409602,6.457114577681365,3173.24484766886,3173.84484766886,TP,12,2026-01-14,2026-01
long,2026-01-15 04:49:00,2026-01-15 06:07:00,2902.278344247484,2931.6852745236456,2887.574879109403,2931.6852745236456,110.08662632313418,9.802310092053892,3236.7097446222856,3237.3097446222855,TP,78,2026-01-15,2026-01
long,2026-01-15 05:49:00,2026-01-15 06:30:00,2921.46947426822,2941.6232238753287,2911.3925994646656,2941.6232238753287,160.63064232376854,6.717916535702906,3236.7097446222674,3237.3097446222673,TP,41,2026-01-15,2026-01
short,2026-01-19 06:36:00,2026-01-19 06:48:00,2915.3988163395084,2890.554877872663,2927.820785572931,2890.554877872663,135.51708554181874,8.281312822281784,3366.1781344071733,3366.778134407173,TP,12,2026-01-19,2026-01
short,2026-01-20 07:56:00,2026-01-20 08:08:00,2850.01418226901,2860.134342863732,2860.134342863732,2829.7738610795654,169.66636373765874,6.746773729814781,-1717.6508485476515,-1717.0508485476516,SL,12,2026-01-20,2026-01
