datum,versie,variant,sig_type,count,pnl_avg
20260514_133230,v16,V16-Basis,D_PULLBACK,69,451.41
20260514_133230,v16,V16-Basis,E_BOS,64,451.41
20260514_133230,v16,V16-Basis,A_EMACROSS,49,451.41
20260514_133230,v16,V16-Basis,C_MOMENTUM,48,451.41
20260514_133230,v16,V16-Basis,B_MACDCROSS,29,451.41
20260514_133230,v16,V16-Basis,F_MSS,12,451.41
20260514_133230,v16,V16-HighRisk,D_PULLBACK,69,360.8
20260514_133230,v16,V16-HighRisk,E_BOS,59,360.8
20260514_133230,v16,V16-HighRisk,C_MOMENTUM,41,360.8
20260514_133230,v16,V16-HighRisk,A_EMACROSS,37,360.8
20260514_133230,v16,V16-HighRisk,B_MACDCROSS,26,360.8
20260514_133230,v16,V16-HighRisk,F_MSS,12,360.8
20260514_133230,v16,V16-Freq,D_PULLBACK,97,391.79
20260514_133230,v16,V16-Freq,E_BOS,62,391.79
20260514_133230,v16,V16-Freq,C_MOMENTUM,54,391.79
20260514_133230,v16,V16-Freq,A_EMACROSS,53,391.79
20260514_133230,v16,V16-Freq,B_MACDCROSS,44,391.79
20260514_133230,v16,V16-Freq,F_MSS,18,391.79
20260514_133230,v16,V16-TP3Big,D_PULLBACK,68,670.67
20260514_133230,v16,V16-TP3Big,E_BOS,61,670.67
20260514_133230,v16,V16-TP3Big,A_EMACROSS,49,670.67
20260514_133230,v16,V16-TP3Big,C_MOMENTUM,47,670.67
20260514_133230,v16,V16-TP3Big,B_MACDCROSS,29,670.67
20260514_133230,v16,V16-TP3Big,F_MSS,12,670.67
20260514_133230,v16,V16-Balanced,D_PULLBACK,66,605.14
20260514_133230,v16,V16-Balanced,E_BOS,62,605.14
20260514_133230,v16,V16-Balanced,A_EMACROSS,49,605.14
20260514_133230,v16,V16-Balanced,C_MOMENTUM,46,605.14
20260514_133230,v16,V16-Balanced,B_MACDCROSS,29,605.14
20260514_133230,v16,V16-Balanced,F_MSS,12,605.14
20260514_133230,v16,V16-Conservative,D_PULLBACK,54,114.03
20260514_133230,v16,V16-Conservative,E_BOS,48,114.03
20260514_133230,v16,V16-Conservative,C_MOMENTUM,31,114.03
20260514_133230,v16,V16-Conservative,A_EMACROSS,25,114.03
20260514_133230,v16,V16-Conservative,B_MACDCROSS,19,114.03
20260514_133230,v16,V16-Conservative,F_MSS,9,114.03
