maand,trades,pnl,wins,wr,pct,variant,versie
2024-11,7,-140.90000000000003,3,42.857142857142854,-0.08806250000000002,V16-Basis,v16
2024-12,16,11964.66,7,43.75,7.4779125,V16-Basis,v16
2025-01,21,37500.21,15,71.42857142857143,23.43763125,V16-Basis,v16
2025-02,19,-5759.87,2,10.526315789473685,-3.59991875,V16-Basis,v16
2025-03,14,11718.9,6,42.857142857142854,7.3243125,V16-Basis,v16
2025-04,15,10552.36,11,73.33333333333333,6.595225,V16-Basis,v16
2025-05,12,-1356.9399999999998,5,41.666666666666664,-0.8480874999999999,V16-Basis,v16
2025-06,10,-2856.89,0,0.0,-1.7855562499999997,V16-Basis,v16
2025-07,10,168.33999999999992,7,70.0,0.10521249999999994,V16-Basis,v16
2025-08,22,4456.26,14,63.63636363636363,2.7851625,V16-Basis,v16
2025-09,27,28527.37,12,44.44444444444444,17.829606249999998,V16-Basis,v16
2025-10,16,8808.17,7,43.75,5.50510625,V16-Basis,v16
2025-11,5,356.71000000000004,3,60.0,0.22294375,V16-Basis,v16
2025-12,13,-4991.85,2,15.384615384615385,-3.11990625,V16-Basis,v16
2026-01,15,1230.58,10,66.66666666666667,0.7691124999999999,V16-Basis,v16
2026-02,9,-552.5099999999999,6,66.66666666666667,-0.3453187499999999,V16-Basis,v16
2026-03,13,3918.66,9,69.23076923076923,2.4491625,V16-Basis,v16
2026-04,20,21089.03,13,65.0,13.180643749999998,V16-Basis,v16
2026-05,7,-2300.63,3,42.857142857142854,-1.4378937500000002,V16-Basis,v16
2024-11,7,-180.15999999999985,3,42.857142857142854,-0.11259999999999992,V16-HighRisk,v16
2024-12,16,14170.329999999998,7,43.75,8.856456249999999,V16-HighRisk,v16
2025-01,21,29760.17,15,71.42857142857143,18.60010625,V16-HighRisk,v16
2025-02,19,-6799.66,2,10.526315789473685,-4.2497875,V16-HighRisk,v16
2025-03,10,5328.989999999999,3,30.0,3.3306187499999993,V16-HighRisk,v16
2025-04,15,11920.560000000001,11,73.33333333333333,7.450350000000001,V16-HighRisk,v16
2025-05,12,-1511.9900000000002,5,41.666666666666664,-0.9449937500000002,V16-HighRisk,v16
2025-06,6,-2033.73,0,0.0,-1.27108125,V16-HighRisk,v16
2025-07,7,-779.1199999999999,4,57.142857142857146,-0.48695,V16-HighRisk,v16
2025-08,21,2529.16,13,61.904761904761905,1.580725,V16-HighRisk,v16
2025-09,27,31113.41,12,44.44444444444444,19.44588125,V16-HighRisk,v16
2025-10,16,10177.01,7,43.75,6.36063125,V16-HighRisk,v16
2025-11,5,537.6800000000001,3,60.0,0.33605,V16-HighRisk,v16
2025-12,10,-4616.4,2,20.0,-2.8852499999999996,V16-HighRisk,v16
2026-01,13,-157.62999999999988,8,61.53846153846154,-0.09851874999999993,V16-HighRisk,v16
2026-02,6,-620.5699999999999,4,66.66666666666667,-0.38785624999999996,V16-HighRisk,v16
2026-03,13,3879.7299999999996,9,69.23076923076923,2.4248312499999995,V16-HighRisk,v16
2026-04,13,-2645.33,6,46.15384615384615,-1.6533312500000001,V16-HighRisk,v16
2026-05,7,-2036.1699999999998,3,42.857142857142854,-1.27260625,V16-HighRisk,v16
2024-11,7,-183.37000000000006,3,42.857142857142854,-0.11460625000000003,V16-Freq,v16
2024-12,17,9102.27,7,41.1764705882353,5.68891875,V16-Freq,v16
2025-01,23,19361.24,17,73.91304347826087,12.100775,V16-Freq,v16
2025-02,25,-5351.16,2,8.0,-3.344475,V16-Freq,v16
2025-03,22,7812.66,12,54.54545454545455,4.8829125,V16-Freq,v16
2025-04,17,7109.39,11,64.70588235294117,4.44336875,V16-Freq,v16
2025-05,12,-1054.35,5,41.666666666666664,-0.6589687499999999,V16-Freq,v16
2025-06,16,-2435.47,4,25.0,-1.5221687499999998,V16-Freq,v16
2025-07,10,692.5600000000002,7,70.0,0.43285000000000007,V16-Freq,v16
2025-08,25,1554.15,14,56.0,0.97134375,V16-Freq,v16
2025-09,34,51800.38,17,50.0,32.3752375,V16-Freq,v16
2025-10,23,35133.36,12,52.17391304347826,21.958350000000003,V16-Freq,v16
2025-11,6,-293.3700000000001,3,50.0,-0.18335625000000008,V16-Freq,v16
2025-12,19,-4181.61,5,26.31578947368421,-2.6135062499999995,V16-Freq,v16
2026-01,18,2608.21,13,72.22222222222223,1.6301312500000003,V16-Freq,v16
2026-02,9,-498.01,6,66.66666666666667,-0.31125625,V16-Freq,v16
2026-03,17,4088.15,12,70.58823529411765,2.5550937499999997,V16-Freq,v16
2026-04,20,5785.429999999999,13,65.0,3.6158937499999997,V16-Freq,v16
2026-05,8,-2541.9700000000003,3,37.5,-1.58873125,V16-Freq,v16
2024-11,7,206.88999999999987,3,42.857142857142854,0.12930624999999993,V16-TP3Big,v16
2024-12,16,15450.69,7,43.75,9.65668125,V16-TP3Big,v16
2025-01,20,46763.07,14,70.0,29.226918749999996,V16-TP3Big,v16
2025-02,19,-6120.21,2,10.526315789473685,-3.82513125,V16-TP3Big,v16
2025-03,14,16082.099999999999,6,42.857142857142854,10.0513125,V16-TP3Big,v16
2025-04,14,13734.66,10,71.42857142857143,8.5841625,V16-TP3Big,v16
2025-05,12,-1107.38,5,41.666666666666664,-0.6921125000000001,V16-TP3Big,v16
2025-06,10,-3118.18,0,0.0,-1.9488625,V16-TP3Big,v16
2025-07,8,61.33999999999992,5,62.5,0.03833749999999995,V16-TP3Big,v16
2025-08,21,11216.21,14,66.66666666666667,7.01013125,V16-TP3Big,v16
2025-09,27,40974.54,12,44.44444444444444,25.6090875,V16-TP3Big,v16
2025-10,16,13365.1,7,43.75,8.3531875,V16-TP3Big,v16
2025-11,5,919.99,3,60.0,0.57499375,V16-TP3Big,v16
2025-12,13,-5833.25,2,15.384615384615385,-3.6457812499999998,V16-TP3Big,v16
2026-01,15,989.7,10,66.66666666666667,0.6185625,V16-TP3Big,v16
2026-02,9,-644.6700000000001,6,66.66666666666667,-0.40291875000000005,V16-TP3Big,v16
2026-03,12,5786.969999999999,8,66.66666666666667,3.616856249999999,V16-TP3Big,v16
2026-04,21,32495.89,15,71.42857142857143,20.309931249999998,V16-TP3Big,v16
2026-05,7,-2825.8900000000003,3,42.857142857142854,-1.7661812500000003,V16-TP3Big,v16
2024-11,7,6.7299999999999045,3,42.857142857142854,0.00420624999999994,V16-Balanced,v16
2024-12,16,11880.73,7,43.75,7.42545625,V16-Balanced,v16
2025-01,19,34248.22,15,78.94736842105263,21.405137500000002,V16-Balanced,v16
2025-02,19,-5174.37,2,10.526315789473685,-3.2339812500000003,V16-Balanced,v16
2025-03,14,16501.34,6,42.857142857142854,10.3133375,V16-Balanced,v16
2025-04,14,10210.77,10,71.42857142857143,6.38173125,V16-Balanced,v16
2025-05,12,-1101.7,5,41.666666666666664,-0.6885625000000001,V16-Balanced,v16
2025-06,10,-2605.62,0,0.0,-1.6285125,V16-Balanced,v16
2025-07,8,36.150000000000034,5,62.5,0.022593750000000024,V16-Balanced,v16
2025-08,21,7731.53,14,66.66666666666667,4.83220625,V16-Balanced,v16
2025-09,27,51410.87,12,44.44444444444444,32.13179375000001,V16-Balanced,v16
2025-10,16,10009.350000000002,7,43.75,6.25584375,V16-Balanced,v16
2025-11,5,676.4200000000001,3,60.0,0.42276250000000004,V16-Balanced,v16
2025-12,13,-5145.11,2,15.384615384615385,-3.21569375,V16-Balanced,v16
