in,uit,rich,entry,exit,pnl,result,type,variant,versie
2024-11-12 13:00:00+00:00,2024-11-12 14:00:00+00:00,-1,2618.1,2622.3,-400.0,SL,D_PULLBACK,V16-Basis,v16
2024-11-13 15:00:00+00:00,2024-11-13 16:00:00+00:00,-1,2611.3,2602.52,287.28,TP1,A_EMACROSS,V16-Basis,v16
2024-11-13 15:00:00+00:00,2024-11-13 16:00:00+00:00,-1,2611.3,2596.67,478.8,TP2,A_EMACROSS,V16-Basis,v16
2024-11-13 15:00:00+00:00,2024-11-13 17:00:00+00:00,-1,2611.3,2587.89,1021.44,TP3,A_EMACROSS,V16-Basis,v16
2024-11-14 11:00:00+00:00,2024-11-14 13:00:00+00:00,-1,2558.7,2564.95,-484.16,SL,C_MOMENTUM,V16-Basis,v16
2024-11-14 14:00:00+00:00,2024-11-14 15:00:00+00:00,-1,2564.6,2569.1,-402.26,SL,D_PULLBACK,V16-Basis,v16
2024-11-15 13:00:00+00:00,2024-11-15 14:00:00+00:00,-1,2569.7,2575.55,-642.0,SL,A_EMACROSS,V16-Basis,v16
2024-12-10 10:00:00+00:00,2024-12-10 13:00:00+00:00,1,2698.1,2686.27,-239.79,SL,E_BOS,V16-Basis,v16
2024-12-10 13:00:00+00:00,2024-12-10 14:00:00+00:00,1,2704.4,2692.33,-191.54,SL,E_BOS,V16-Basis,v16
2024-12-17 08:00:00+00:00,2024-12-17 09:00:00+00:00,-1,2659.5,2645.76,86.09,TP1,B_MACDCROSS,V16-Basis,v16
2024-12-17 08:00:00+00:00,2024-12-17 12:00:00+00:00,-1,2659.5,2659.04,133.92,SL,B_MACDCROSS,V16-Basis,v16
2024-12-17 15:00:00+00:00,2024-12-17 18:00:00+00:00,-1,2654.4,2663.7,-383.15,SL,C_MOMENTUM,V16-Basis,v16
2024-12-18 13:00:00+00:00,2024-12-18 15:00:00+00:00,-1,2659.8,2649.7,143.34,TP1,F_MSS,V16-Basis,v16
2024-12-18 13:00:00+00:00,2024-12-18 19:00:00+00:00,-1,2659.8,2642.96,4777.94,TP2,F_MSS,V16-Basis,v16
2024-12-18 13:00:00+00:00,2024-12-18 19:00:00+00:00,-1,2659.8,2632.86,10192.94,TP3,F_MSS,V16-Basis,v16
2024-12-19 07:00:00+00:00,2024-12-19 09:00:00+00:00,-1,2630.1,2634.82,-435.95,SL,D_PULLBACK,V16-Basis,v16
2024-12-19 13:00:00+00:00,2024-12-20 06:00:00+00:00,-1,2610.0,2618.11,-521.83,SL,E_BOS,V16-Basis,v16
2024-12-23 11:00:00+00:00,2024-12-26 05:00:00+00:00,-1,2630.0,2636.18,-520.26,SL,E_BOS,V16-Basis,v16
2024-12-27 08:00:00+00:00,2024-12-27 12:00:00+00:00,-1,2640.8,2644.9,-259.35,SL,E_BOS,V16-Basis,v16
2024-12-27 13:00:00+00:00,2024-12-27 14:00:00+00:00,-1,2633.4,2627.49,104.88,TP1,E_BOS,V16-Basis,v16
2024-12-27 13:00:00+00:00,2024-12-27 15:00:00+00:00,-1,2633.4,2633.18,9.06,SL,E_BOS,V16-Basis,v16
2024-12-30 08:00:00+00:00,2024-12-30 09:00:00+00:00,-1,2623.6,2627.57,-518.27,SL,E_BOS,V16-Basis,v16
2024-12-30 11:00:00+00:00,2024-12-30 12:00:00+00:00,-1,2629.5,2633.47,-413.37,SL,C_MOMENTUM,V16-Basis,v16
