fast_ma,slow_ma,rendement,trades,win_rate,max_dd,sharpe,eindkapitaal
45,50,533.1,8,87.5,-4.8,1.53,63310.07
40,50,426.12,5,100.0,0.0,1.42,52612.41
35,50,335.52,5,100.0,0.0,1.32,43551.9
25,30,330.35,13,76.9,-31.8,1.3,43034.98
15,30,241.06,8,62.5,-32.8,0.96,34106.21
40,60,220.59,3,100.0,0.0,1.16,32058.84
10,60,218.6,3,100.0,0.0,1.16,31860.39
10,70,215.5,3,100.0,0.0,1.15,31550.22
15,70,211.89,3,100.0,0.0,1.16,31188.54
35,40,179.42,9,55.6,-50.0,0.89,27941.81
25,50,176.08,2,100.0,0.0,0.96,27607.96
45,60,160.55,4,75.0,-18.5,0.98,26054.52
10,50,157.11,4,75.0,-27.3,0.93,25710.91
10,30,151.95,9,55.6,-40.5,0.82,25195.19
30,50,149.16,3,66.7,-37.7,0.75,24915.98
30,40,139.23,5,60.0,-42.1,0.79,23923.37
50,60,128.98,4,75.0,-39.8,0.71,22897.81
20,50,121.13,3,66.7,-39.3,0.7,22113.37
25,40,81.45,6,50.0,-86.7,0.63,18144.84
20,60,51.71,2,50.0,-39.3,0.49,15170.61
15,40,33.93,2,50.0,-39.3,0.43,13392.53
15,60,33.06,2,50.0,-40.1,0.44,13305.93
15,50,32.18,2,50.0,-40.1,0.43,13217.73
10,40,2.83,7,42.9,-88.3,0.57,10283.01
20,30,-33.48,8,50.0,-117.6,0.23,6652.2
20,40,-64.26,4,50.0,-81.0,-0.22,3573.71
20,70,-91.26,2,0.0,-91.3,-0.92,873.83
10,90,-97.04,3,33.3,-98.3,-0.21,296.37
