open_datum,sluit_datum,richting,open_prijs,sluit_prijs,pnl,reden,win
2022-04-28,2022-04-29,VERKOOP,1888.699951171875,1909.300048828125,-53.5,SL,False
2022-08-24,2022-08-25,KOOP,1747.800048828125,1757.699951171875,96.5,TP,True
2022-09-06,2022-09-07,VERKOOP,1700.4000244140625,1715.300048828125,-53.5,SL,False
2022-11-15,2022-11-16,KOOP,1773.800048828125,1773.0,-53.5,SL,False
2023-02-28,2023-03-01,VERKOOP,1828.9000244140625,1837.699951171875,-53.5,SL,False
2023-03-24,2023-03-27,KOOP,1982.0999755859375,1952.4000244140625,-53.5,SL,False
2023-06-01,2023-06-02,VERKOOP,1978.0,1952.4000244140625,96.5,TP,True
2023-07-31,2023-08-01,KOOP,1970.5,1940.699951171875,-53.5,SL,False
2023-08-16,2023-08-17,VERKOOP,1896.0999755859375,1884.0999755859375,96.5,TP,True
2023-10-30,2023-10-31,KOOP,1996.199951171875,1985.199951171875,-53.5,SL,False
2024-01-31,2024-02-01,VERKOOP,2048.39990234375,2053.0,-53.5,SL,False
2024-03-05,2024-03-06,KOOP,2133.5,2150.300048828125,96.5,TP,True
2024-06-17,2024-06-18,VERKOOP,2312.39990234375,2330.39990234375,-53.5,SL,False
2024-07-15,2024-07-16,KOOP,2422.89990234375,2462.39990234375,96.5,TP,True
2024-11-26,2024-11-27,VERKOOP,2620.300048828125,2639.89990234375,-53.5,SL,False
